scenario,time_hours,stored_energy_kWh,incoming_energy_kW,energy_demand_kW,power_generation_kW,energy_reference_kWh,storage_control_kW,grid_control_kW
base_case,0.0,10.0,0.0,5.0,8.0,10,-2.0,-2.0
base_case,0.5,6.550000000000001,3.05,5.0,8.261052384440102,10,-2.0,-2.0
base_case,1.0,4.642250000000001,6.200026192220051,5.0,8.517638090205041,10,-2.0,-2.0
base_case,1.5,4.3190518461100265,9.44684497540037,5.0,8.76536686473018,10,-2.0,-2.0
base_case,2.0,5.620879074579662,12.785059958011455,5.0,9.0,10,-2.0,-2.0
base_case,2.5,8.585304658212491,16.207209358431342,5.0,9.21752285801744,10,-2.0,-2.0
base_case,3.0,13.2459828141371,19.70389869385575,5.0,9.414213562373096,10,-2.0,-2.0
base_case,3.5,19.631702246994287,23.26396648810374,5.0,9.58670668058247,10,-2.0,-2.0
base_case,4.0,27.765526979811185,26.874680163513936,5.0,9.732050807568877,10,-2.0,-2.0
base_case,4.5,37.6640394266691,30.521958765663236,5.0,9.847759065022574,10,-2.0,-2.0
base_case,5.0,49.33669861236737,34.19061871051789,5.0,9.931851652578137,10,-2.0,-2.0
base_case,5.5,62.785324474564476,37.86463834970178,5.0,9.98288972274762,10,-1.9999999999997045,-2.0
base_case,6.0,78.00371702704268,41.52743682757857,5.0,10.0,10,-1.9999999999995957,-2.0
base_case,6.5,94.97741685569693,45.162162459302785,5.0,9.98288972274762,10,0.11196217253119316,-2.0
base_case,7.0,100.0,48.751985696083565,5.0,9.931851652578137,10,0.04644627001721107,-2.0
base_case,7.5,100.0,52.2803916654118,5.0,9.847759065022574,10,-0.085291628104475,-2.0
base_case,8.0,100.0,55.73146728126897,5.0,9.732050807568877,10,0.03660276941543855,-2.0
base_case,8.5,100.0,59.09017801224072,5.0,9.58670668058247,10,-0.09515247554794116,-2.0
base_case,9.0,100.0,62.34262957240955,5.0,9.414213562373096,10,0.0872340394201603,-2.0
base_case,9.5,100.0,65.476310057872,5.0,9.217522858017443,10,-0.004954297376242622,-2.0
base_case,10.0,100.0,68.480308386302,5.0,9.0,10,-0.018315114485136345,-2.0
base_case,10.5,100.0,71.34550530243898,5.0,8.76536686473018,10,-0.06757738014861094,-2.0
base_case,11.0,100.0,74.06473368177969,5.0,8.517638090205041,10,0.12141569989054472,-2.0
base_case,11.5,100.0,76.63290539006441,5.0,8.261052384440104,10,-0.015309266658123027,-2.0
base_case,12.0,100.0,79.04710252838382,5.0,8.0,10,-0.04251972710816592,-2.0
base_case,12.5,100.0,81.30663150309998,5.0,7.738947615559897,10,-0.03495867728638861,-2.0
base_case,13.0,100.0,83.41303899584892,5.0,7.4823619097949585,10,0.0528774671190483,-2.0
base_case,13.5,100.0,85.37008956078792,5.0,7.234633135269821,10,0.0362772197998838,-2.0
base_case,14.0,100.0,87.18370523281494,5.0,7.000000000000001,10,0.04100095216678751,-2.0
base_case,14.5,100.0,88.8618681804868,5.0,6.782477141982559,10,0.042800527007996934,-2.0
base_case,15.0,100.0,90.41448806967321,5.0,6.585786437626906,10,0.21266946089174507,-2.0
base_case,15.5,100.0,91.85323640778994,5.0,6.41329331941753,10,-0.04033392665271387,-2.0
base_case,16.0,100.0,93.1913507034208,5.0,6.267949192431123,10,-0.05082812805198623,-2.0
base_case,16.5,100.0,94.44341179260215,5.0,6.152240934977426,10,-0.08078796592470323,-2.0
base_case,17.0,100.0,95.62509814216484,5.0,6.068148347421864,10,0.06120770151023949,-2.0
base_case,17.5,100.0,96.75292133445413,5.0,6.017110277252379,10,0.11208542464994245,-2.0
base_case,18.0,100.0,97.84394725973577,5.0,6.0,10,-0.011280364610624895,-2.0
base_case,18.5,100.0,98.91550778713841,5.0,6.017110277252379,10,-0.08337884919889953,-2.0
base_case,19.0,100.0,99.98490784789321,5.0,6.068148347421863,10,-0.08182079482580333,-2.0
base_case,19.5,100.0,101.06913294312521,5.0,6.152240934977426,10,0.06461555902118334,-2.0
base_case,20.0,100.0,102.18456208118268,5.0,6.267949192431123,10,0.07378805345519272,-2.0
base_case,20.5,100.0,103.34669105658641,5.0,6.413293319417528,10,0.05396553556531143,-2.0
base_case,21.0,100.0,104.56987080572931,5.0,6.585786437626904,10,-0.0660727254681911,-2.0
base_case,21.5,100.0,105.86706531648547,5.0,6.782477141982558,10,0.023094257753044807,-2.0
base_case,22.0,100.0,107.24963323431189,5.0,6.999999999999999,10,0.011628327672780936,-2.0
base_case,22.5,100.0,108.72713690196876,5.0,7.234633135269821,10,0.021739314348286177,-2.0
base_case,23.0,100.0,110.30718210058399,5.0,7.482361909794957,10,0.08656590459401418,-1.999999999999932
base_case,23.5,100.0,111.99529123447566,5.0,7.738947615559897,10,0.02223770984882767,-0.14365080631516708
base_case,24.0,100.0,114.67657799691115,5.0,7.999999999999999,10,0.02223770984882767,-0.14365080631516708
peak_shaving,0.0,10.0,0.0,6.000000000000051,10.0,50,2.0,-2.0
peak_shaving,0.5,7.849999999999975,4.05,6.000000000002441,10.522104768880206,50,2.0,-2.0
peak_shaving,1.0,7.735749999998754,8.320552384440102,6.000000000091589,11.035276180410083,50,2.0,-2.0
peak_shaving,1.5,9.757347442173018,12.804984950800742,6.000000002676634,11.530733729460358,50,2.0,-2.0
peak_shaving,2.0,14.011053179024206,17.492301966022914,6.000000060919919,12.0,50,2.0,-2.0
peak_shaving,2.5,20.587148865680582,22.367378946362685,6.000001079831401,12.435045716034882,50,-2.0,-2.0
peak_shaving,3.0,27.76790205461782,27.4112280149165,6.000014906612688,12.82842712474619,50,-1.999999999999723,-2.0
peak_shaving,3.5,37.43466909849676,32.60132929714043,6.0001602611895715,13.17341336116494,50,-1.9999999999999465,-2.0
peak_shaving,4.0,49.64808027097973,37.9120226847515,6.00134185051161,13.464101615137753,50,-1.9999999999999323,-2.0
peak_shaving,4.5,64.4551802867448,43.31495326547286,6.008749964472732,13.695518130045148,50,-1.9999999999997604,-2.0
peak_shaving,5.0,81.88600603581125,48.779562797840704,6.044435986152969,13.863703305156273,50,0.08467350055360295,-2.0
peak_shaving,5.5,100.0,54.27361882244043,6.17574773449363,13.965779445495242,50,0.0748835890379119,-2.0
peak_shaving,6.0,100.0,59.76377235696365,6.541341132946451,14.0,50,0.006314168147255462,-2.0
peak_shaving,6.5,100.0,65.216134633394,7.298609869433399,13.965779445495242,50,0.10863950038126266,-2.0
peak_shaving,7.0,100.0,70.59686300980769,8.426122638850533,13.863703305156273,50,0.04507204147557495,-2.0
peak_shaving,7.5,100.0,75.87274603228775,9.529987610338381,13.695518130045148,50,-0.08277217376236465,-2.0
peak_shaving,8.0,100.0,81.01177763698745,10.0,13.464101615137755,50,0.03548441499169612,-2.0
peak_shaving,8.5,100.0,85.98371066818645,9.529987610338381,13.17341336116494,50,-0.09239794589494327,-2.0
peak_shaving,9.0,100.0,90.76058024208706,8.426122638850533,12.82842712474619,50,0.08457873319804725,-2.0
peak_shaving,9.5,100.0,95.31718800203929,7.2986098694334,12.435045716034884,50,-0.0047719464668495755,-2.0
peak_shaving,10.0,100.0,99.63153898003634,6.541341132946502,12.0,50,-0.017833313101624566,-2.0
peak_shaving,10.5,100.0,103.68522359023598,6.1757477344960705,11.53073372946036,50,-0.06577735050393924,-2.0
peak_shaving,11.0,100.0,107.4637382190638,6.044435986244558,11.035276180410085,50,0.11788652048299364,-2.0
peak_shaving,11.5,100.0,110.9567389270782,6.008749967149366,10.522104768880208,50,-0.014802558243753398,-2.0
peak_shaving,12.0,100.0,114.15822392224753,6.0013419114315285,10.0,50,-0.041247377507494826,-2.0
peak_shaving,12.5,100.0,117.06664168302505,6.000161341020973,9.477895231119794,50,-0.03388727975320714,-2.0
peak_shaving,13.0,100.0,119.6849228817547,6.000029813225376,8.964723819589917,50,0.051337526473874226,-2.0
peak_shaving,13.5,100.0,122.02043556273212,6.000161341020973,8.469266270539642,50,0.035280193715731205,-2.0
peak_shaving,14.0,100.0,124.08486434237462,6.0013419114315285,8.000000000000002,50,0.039737865845928644,-2.0
peak_shaving,14.5,100.0,125.89401569895087,6.008749967149366,7.564954283965117,50,0.04154633553760555,-2.0
peak_shaving,15.0,100.0,127.46755268394392,6.044435986244558,7.171572875253812,50,0.20630138779314428,-2.0
peak_shaving,15.5,100.0,128.82866359473138,6.1757477344960705,6.82658663883506,50,-0.03912097453066044,-2.0
peak_shaving,16.0,100.0,130.0036702782016,6.541341132946501,6.5358983848622465,50,-0.04922856410087241,-2.0
peak_shaving,16.5,100.0,131.02158276785073,7.2986098694334,6.304481869954852,50,-0.07836944143940396,-2.0
peak_shaving,17.0,100.0,131.91360787514964,8.426122638850533,6.136296694843727,50,0.05936986879004861,-2.0
peak_shaving,17.5,100.0,132.71262014382,9.529987610338381,6.034220554504758,50,0.10879802145488908,-2.0
peak_shaving,18.0,100.0,133.4526042196342,10.0,6.0,50,-0.011047505410405804,-2.0
peak_shaving,18.5,100.0,134.16807817743785,9.529987610338381,6.034220554504758,50,-0.0808744685114139,-2.0
peak_shaving,19.0,100.0,134.89350767291586,8.426122638850533,6.136296694843726,50,-0.07936711744958165,-2.0
peak_shaving,19.5,100.0,135.66272094360858,7.298609869433399,6.304481869954852,50,0.06260743888928152,-2.0
peak_shaving,20.0,100.0,136.50833466914992,6.541341132946451,6.535898384862246,50,0.07164728238596588,-2.0
peak_shaving,20.5,100.0,137.46120051488955,6.17574773449363,6.826586638835057,50,0.052189969067360266,-2.0
peak_shaving,21.0,100.0,138.54988182915818,6.044435986152969,7.171572875253809,50,-0.06413820794960345,-2.0
peak_shaving,21.5,100.0,139.8001694484935,6.008749964472732,7.5649542839651165,50,0.022405556387433093,-2.0
peak_shaving,22.0,100.0,141.23464489599112,6.00134185051161,7.999999999999998,50,0.011002759761993533,-2.0
peak_shaving,22.5,100.0,142.8722984470312,6.0001602611895715,8.469266270539642,50,0.020900227420867657,-2.0
peak_shaving,23.0,100.0,144.7282085978307,6.000014906612688,8.964723819589913,50,0.083689863172727,-2.0
peak_shaving,23.5,100.0,146.81328842164734,6.000001079831401,9.477895231119794,50,0.02158367032487548,-0.1395723342890266
peak_shaving,24.0,100.0,150.01780629420347,6.000000060919919,9.999999999999998,50,0.02158367032487548,-0.1395723342890266
grid_support,0.0,10.0,0.0,5.060943415950886,7.0,20,-2.0,-1.9999999999999305
grid_support,0.5,6.519528292024557,2.550000000000033,5.053055563192004,7.391578576660155,20,-2.0,-1.999999999999933
grid_support,1.0,4.3354028689684485,5.270289288330142,5.667728329366333,7.776457135307562,20,-2.0,-1.9999999999999294
grid_support,1.5,3.215006334105511,8.155814963100655,5.953479808008422,8.148050297095269,20,-1.9999999999999765,-1.9999999999999258
grid_support,2.0,3.4000988799811105,11.198281962017319,5.609792962269233,8.5,20,-1.9999999999998517,-1.999999999999938
grid_support,2.5,5.277342885455315,14.386299142397176,5.957086956644977,8.826284287026162,20,-1.999999999999822,-1.9999999999999285
grid_support,3.0,8.565562263904217,17.70557829448632,6.439781643006552,9.121320343559642,20,-1.9999999999998264,-1.999999999999928
grid_support,3.5,13.255632778324658,21.139182683321312,6.523458162113753,9.380060020873707,20,-1.9999999999998008,-1.9999999999999272
grid_support,4.0,19.597216875036903,24.667820866924988,6.728690576068019,9.598076211353316,20,-1.9999999999998326,-1.9999999999999234
grid_support,4.5,27.56879593609028,28.27018076393243,6.677150279507858,9.77163859753386,20,-1.999999999999856,-1.9999999999999132
grid_support,5.0,37.32746719862218,31.923298255060075,7.107731247550702,9.897777478867205,20,-1.9999999999999947,-1.9999999999999278
grid_support,5.5,48.648613366383756,35.60295401194311,7.13844810983341,9.974334584121431,20,-2.0,-1.9999999999999194
grid_support,6.0,61.73762325060669,39.28409176388443,7.013206139512243,10.0,20,-2.0,-1.9999999999999345
grid_support,6.5,76.66437794653974,42.94125084624562,7.2083379641412275,9.974334584121431,20,-2.0,-1.9999999999999265
grid_support,7.0,93.24751249785925,46.54900562984392,7.025353521028546,9.897777478867205,20,0.04628473426015288,-1.9999999999999234
grid_support,7.5,100.0,50.08240431297912,6.675900572445927,9.77163859753386,20,-0.08514639242278002,-1.9999999999999207
grid_support,8.0,100.0,53.5173995686163,6.805800964385377,9.598076211353316,20,0.03654532854733859,-1.9999999999999203
grid_support,8.5,100.0,56.83126367860683,6.39493016041667,9.380060020873707,20,-0.09502414420029037,-1.9999999999999216
grid_support,9.0,100.0,60.00298105225765,6.58990362263455,9.121320343559642,20,0.08701808828030488,-1.999999999999924
grid_support,9.5,100.0,63.01361141351494,6.207537675820191,8.826284287026162,20,-0.004971647129694106,-1.999999999999926
grid_support,10.0,100.0,65.8466174428929,5.963027527290948,8.5,20,-0.018330458049524434,-1.9999999999999254
grid_support,10.5,100.0,68.48815126846401,5.6291809558493915,8.14805029709527,20,-0.06751106842956332,-1.9999999999999292
grid_support,11.0,100.0,70.92729490432704,5.762146357939848,7.776457135307563,20,0.12111388976060328,-1.999999999999928
grid_support,11.5,100.0,73.15625052293758,5.230146488026343,7.391578576660156,20,-0.01532205987393987,-1.9999999999999316
grid_support,12.0,100.0,75.17047730603832,4.914334435567379,7.0,20,-0.042415858110607677,-1.9999999999999352
grid_support,12.5,100.0,76.96877253297797,4.668520905462251,6.608421423339845,20,-0.034869663231958135,-1.9999999999999414
grid_support,13.0,100.0,78.55329551931814,4.5888237469056286,6.223542864692438,20,0.05271776695950643,-1.9999999999999443
grid_support,13.5,100.0,79.9295339964712,4.307721948142636,5.851949702904731,20,0.03621325036320046,-1.9999999999999498
grid_support,14.0,100.0,81.10621350795888,4.082546522319198,5.500000000000001,20,0.04090984841123405,-1.999999999999951
grid_support,14.5,100.0,82.09515137287931,3.868641342584135,5.173715712973838,20,0.04270946002641549,-1.999999999999955
grid_support,15.0,100.0,82.91105771563745,4.014115957800998,4.878679656440358,20,0.2122157774569803,-1.9999999999999623
grid_support,15.5,100.0,83.57128696670128,3.332010316140607,4.619939979126295,20,-0.040293370908193966,-1.9999999999999636
grid_support,16.0,100.0,84.09554408659743,3.165500646616816,4.401923788646685,20,-0.0507701079378087,-1.9999999999999711
grid_support,16.5,100.0,84.50555054005481,2.9894863893278507,4.22836140246614,20,-0.0806142412837263,-1.9999999999999725
grid_support,17.0,100.0,84.82467573588735,3.191344231936963,4.102222521132795,20,0.06103890900636942,-1.9999999999999785
grid_support,17.5,100.0,85.07754023909489,3.2429047357965572,4.025665415878569,20,0.11186980072215191,-1.9999999999999856
grid_support,18.0,100.0,85.28959754464323,2.977210508469025,4.0,20,-0.011289524580469387,-1.9999999999999873
grid_support,18.5,100.0,85.4867015691968,2.8490789818598734,4.025665415878569,20,-0.0832406732675117,-1.9999999999999991
grid_support,19.0,100.0,85.69466726144411,2.9032521042836152,4.102222521132795,20,-0.08172622019147427,-2.0
grid_support,19.5,100.0,85.93883184939607,3.2823594925423665,4.228361402466139,20,0.06447406048102729,-2.0
grid_support,20.0,100.0,86.24362423213518,3.4166000266718113,4.401923788646684,20,0.07369600301828266,-2.0
grid_support,20.5,100.0,86.63214988413716,3.5219241730785673,4.619939979126293,20,0.053814679237051424,-1.9999999999998594
grid_support,21.0,100.0,87.125798374859,3.452684496169166,4.878679656440357,20,-0.06597469031663968,-1.999999999999586
grid_support,21.5,100.0,87.74388021933079,3.828909406595902,5.173715712973838,20,0.0230032064908503,-1.9999999999997722
grid_support,22.0,100.0,88.5032992736245,4.023337161828144,5.499999999999998,20,0.01154178851862695,-1.9999999999999403
grid_support,22.5,100.0,89.41826628088829,4.278370854615623,5.851949702904731,20,0.021671811299452025,-2.0
grid_support,23.0,100.0,90.50005846953177,4.656647665384595,6.223542864692435,20,0.08631628210253169,-2.0
grid_support,23.5,100.0,91.75682931718266,4.783666725314833,6.608421423339845,20,0.022146170190063885,-0.1434287393015993
grid_support,24.0,100.0,94.0753430845125,5.135782712614378,6.999999999999999,20,0.022146170190063885,-0.1434287393015993
